geoid,race_white,race_black,race_indian,race_asian,race_pacific,race_some_other,race_two_or_more,race_hispanic,race_white_not_hispanic,race_source_abbreviation,link_to_detailed_sourcing
040131135011016,29,4,11,0,0,10,4,22,22,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/040131135011016/
040131141001052,904,395,74,12,0,349,6,760,546,tract,http://www.prisonersofthecensus.org/data/2010blocks/040131141001052/
040131147031007,261,28,85,2,1,109,11,213,176,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/040131147031007/
040131147032001,2538,599,218,26,1,848,90,1819,1687,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/040131147032001/
040131147032005,965,186,52,4,0,572,63,1099,508,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/040131147032005/
040132168391010,2,0,0,0,0,0,0,0,2,tract,http://www.prisonersofthecensus.org/data/2010blocks/040132168391010/
040130405022009,34,4,22,0,0,16,7,33,21,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/040130405022009/
040159548001638,911,217,71,6,0,190,86,661,542,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/040159548001638/
040159536021034,106,0,2,3,0,8,1,27,89,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/040159536021034/
040159536022034,216,11,11,1,0,14,4,39,198,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/040159536022034/
040159536022075,6,0,0,0,0,0,0,3,3,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/040159536022075/
040159404001203,0,0,32,0,0,0,0,0,0,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/040159404001203/
040159525001050,16,0,0,0,0,0,0,2,14,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/040159525001050/
040179602001147,201,6,69,0,0,10,4,117,111,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/040179602001147/
040179605002163,1103,232,54,16,0,0,8,713,397,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/040179605002163/
040194704003033,1,0,3,0,0,2,0,2,1,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/040194704003033/
040190044301011,246,42,22,0,0,160,29,247,189,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/040190044301011/
040199408001014,1,0,132,0,0,0,0,0,1,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/040199408001014/
040190046171010,3,0,0,0,0,0,0,3,0,tract,http://www.prisonersofthecensus.org/data/2010blocks/040190046171010/
040190013033008,19,2,26,0,0,12,0,23,14,tract,http://www.prisonersofthecensus.org/data/2010blocks/040190013033008/
040190025014010,361,47,44,5,0,116,7,193,299,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/040190025014010/
040190025014013,665,147,101,9,3,321,62,655,422,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/040190025014013/
040190037022019,23,1,16,0,0,0,0,18,7,tract,http://www.prisonersofthecensus.org/data/2010blocks/040190037022019/
